epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,26629.4,0.73375,0.71617,1.18702,0.62873,0.4943,0.54785,0.39286,0.83909,0.8962,1.17744,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,27560.4,0.72224,0.70358,1.17805,0.63262,0.49299,0.54625,0.39194,0.83569,0.89642,1.17667,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,28628.8,0.7225,0.71432,1.18223,0.62191,0.50279,0.54787,0.39397,0.83599,0.89662,1.17601,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,29694.8,0.72816,0.70329,1.18106,0.6347,0.48994,0.54987,0.39492,0.83701,0.88963,1.17627,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,30552.8,0.7238,0.70702,1.17791,0.62594,0.49751,0.54961,0.39427,0.83661,0.88368,1.17501,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,31390.4,0.72368,0.69654,1.17753,0.6216,0.4958,0.54926,0.39404,0.83717,0.87636,1.17802,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,32226.6,0.72137,0.68616,1.17728,0.61452,0.49425,0.54927,0.39455,0.83635,0.87283,1.17839,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,33064.1,0.71223,0.68126,1.17079,0.63091,0.48393,0.54801,0.39424,0.83749,0.87469,1.17986,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,34015.4,0.71625,0.67687,1.17216,0.63784,0.48084,0.54616,0.39175,0.84143,0.87683,1.1843,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,34927.2,0.71324,0.67196,1.16953,0.62731,0.49191,0.54546,0.39013,0.84301,0.88049,1.18712,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,35799,0.49334,0.40884,1.02435,0.64347,0.47278,0.53776,0.38609,0.84391,0.90183,1.19024,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,36629.9,0.49039,0.40113,1.01977,0.64014,0.47115,0.53359,0.38447,0.84118,0.91937,1.18597,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,37534.1,0.48479,0.3816,1.01135,0.6249,0.4708,0.52531,0.37845,0.83884,0.93881,1.1818,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,38379.9,0.48145,0.37694,1.00947,0.62582,0.466,0.52313,0.37646,0.84023,0.95107,1.182,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,39261,0.47821,0.37144,1.00864,0.6206,0.46877,0.52325,0.3759,0.84209,0.96177,1.18308,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,40105.1,0.47094,0.36275,1.00546,0.6169,0.46656,0.52044,0.37428,0.84099,0.97028,1.18282,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,40958.2,0.46768,0.35597,0.9978,0.62179,0.45914,0.51783,0.37332,0.8399,0.9778,1.18141,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,41811.8,0.46425,0.35164,0.9994,0.61983,0.45907,0.52042,0.37627,0.84093,0.97948,1.18285,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,42652.1,0.4663,0.35165,1.0016,0.61953,0.46407,0.51767,0.37449,0.84091,0.98713,1.18318,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,43531.1,0.46071,0.34072,0.99673,0.61619,0.46431,0.51319,0.37109,0.84045,0.99036,1.18293,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
